ts	phase	decision	why	evidence	result
2026-09-24T17:24:53Z	frame	Set measurable parity gate and captured baseline	A port needs real Amp evidence for each upstream behavior, not content counts or self-report	upstream-port.json; bun test (159 pass); https://ampcode.com/threads/T-01a0d46f-f9b8-77dc-b7cb-45563f2eb318	open: map behavior gaps and test live
2026-09-24T17:26:51Z	probe	Validated actual role skill loading before task work	The alleged advisory-load gap needs an observed failure before changing the startup contract	https://ampcode.com/threads/T-01a0d473-2f07-77b4-b722-1c9b2049d0ed	one judgment delegate loaded poteto skill before LICENSE; not a universal guarantee
2026-09-24T17:42:15Z	audit	Independent source audit found ten behavioral gaps; prioritized missing completion wake, hidden report tool, hardest role, effort budget	The parent must receive reliable completion before polishing model fidelity; reviewer used only sources and Amp docs	https://ampcode.com/threads/T-01a0d46f-f9b8-77dc-b7cb-45563f2eb318	verified findings for #1 and #4 in harness; #2 live hypothesis
2026-09-24T17:42:15Z	incident	Steered two Grok explorers after false blockers contradicted successful tool results	Existing blocked-report wording did not prevent misleading host-tool claims	https://ampcode.com/threads/T-01a0d470-cd36-76cc-ba85-489102adc34a; https://ampcode.com/threads/T-01a0d470-cdc4-75c9-ba98-0b83e0d1d448	both later returned grounded traces after steering
2026-09-24T17:43:49Z	design	Selected a seat value that carries model plus optional effort, retaining legacy strings	Whole-seat layer replacement preserves the selected effort; a separate parallel effort map can silently misalign panel seats	https://ampcode.com/threads/T-01a0d47f-a632-7470-8765-96df77ab7090	cross-judge preferred C1 18/20; budget capability checks in setup
2026-09-24T17:48:06Z	probe	Rejected hidden-report-tool hypothesis after a live no-skill child reported successfully	A static frontmatter reading was weaker than the observed child tool calls	https://ampcode.com/threads/T-01a0d486-fb43-7169-8054-fbd55d4e5a8f	Read and pstack_send_to_thread both done without skill load; no tool-gating change
2026-09-24T17:52:18Z	delegation	Continued both Grok implementation owners after false blocked reports	The actual tool records showed wrong workdir failures followed by successful repo reads; no replacement owner while live	https://ampcode.com/threads/T-01a0d483-3191-72d4-91eb-53a1ccf924da; https://ampcode.com/threads/T-01a0d484-96f3-774a-8ae2-317438720e6b	both now reading repository sources; no edits yet
2026-09-24T18:05:37Z	model	Censused false blocked claims by model before a routing change	Four of four Grok child titles include a blocker claim despite successful results; two Opus probes did not; titles alone do not prove task completion	.audit/pstack-role-census.sh	Grok 4/4 claims; Opus 0/2; matched feature probes still needed
2026-09-24T21:07:45Z	ownership	Stopped the two stalled remote owners before starting local parity units	The user redirected the parent and concurrent owners must not edit the same files	T-01a0d483-3191-72d4-91eb-53a1ccf924da; T-01a0d484-96f3-774a-8ae2-317438720e6b	both terminal; skill owner made no edits, runtime owner changed one remote file that was not integrated
2026-09-24T22:28:16Z	implementation	Separated model identity from per-seat effort and added true hardest ownership	Whole-seat replacement avoids zipping a lower layer's effort over another model; known capability limits must reject invalid pairs	index.ts; index.test.ts; workflow-parity.ts; amp plugins show-agent-options --json	local tests and typecheck passed; custom-count candidates tracked
2026-09-24T22:01:44Z	live	Fixed duplicate fallback after a real cross-orb report	Parent plugin cannot see a child orb's local tool-call hook; successful report must be established from the child transcript	T-01a0d567-6f99-706b-9e9c-93d0845c705a; T-01a0d56f-dab2-73b9-a5cd-12f1a82250e6	first child produced report plus duplicate; second child produced only report after transcript pairing
2026-09-24T22:28:16Z	live	Verified effort-only orb mode reload and actual child definition	A local effort edit must not reuse a registered max-effort mode	T-01a0d578-07eb-774c-9c49-91821be103ee; amp threads export	before reload ORB_MODE_RELOAD_ERROR; after reload child meta.agent.reasoningEffort=medium
2026-09-24T22:28:25Z	live	Tested native redirect with explicit builtin mode override	Unpushed project plugin mode key was unavailable to native create_thread; a builtin mode still exercises native pairing	T-01a0d588-531d-77bc-899d-04889288f4f0	builtin override child completed and reported; unpushed custom mode returned Agent mode is invalid
2026-09-24T22:28:25Z	review	Accepted two independent whole-diff failure reports and repaired the named paths	Source-derived failure sequences take precedence over passing fake tests	index.ts; workflow-parity.ts; runtime-store.ts; skills/setup-pstack/SKILL.md	first review found failed append and native ordinary tracking; second found native owner tracking and candidate identity; all had focused regression tests added
2026-09-24T22:40:07Z	repair	Restored terminal children using transcript activity instead of relying on an observed running transition	The plugin can unload while a child is running and reload after it reaches idle	workflow-parity.ts; index.ts; index.test.ts	190 tests pass, both typechecks pass, git diff --check clean; hosted restart remains untested
2026-09-24T22:44:57Z	repair	Persisted background child roles to restore read-only guards	Independent review found role loss after reload let a formerly strict read-only child bypass the mutation guard	index.ts; runtime-store.ts; workflow-parity.ts; index.test.ts	191 tests pass, both typechecks pass, git diff --check clean; no final independent verdict on this repair
2026-09-24T23:18:30Z	repair	Retained reported child rows until terminal cleanup	Independent reviewer reproduced a guard bypass after an active read-only child reported before reload	index.ts; runtime-store.ts; index.test.ts	192 tests pass with process-local Git signing override, both typechecks pass, git diff --check clean; follow-up review pending
2026-09-24T23:19:48Z	review	Independent follow-up returned PASS+NOTES on the transferred final code diff	The reviewer reproduced the prior report-then-reload failure and probed SQLite row retention and terminal deletion independently	T-01a0d5af-e835-758e-97d0-27c14ec1ae5e	No surviving flaw in repair; blocking readonly reload and post-terminal steer guards remain limited; hosted semantics unverified
